Title,Location,Price,Area,Number of rooms
Apartment De Rik,3232 LA Brielle (Rugge),"€1,290",76 m²,3
Apartment De Rik,3232 LA Brielle (Rugge),"€1,290",76 m²,3
Apartment De Rik,3232 LA Brielle (Rugge),"€1,290",76 m²,3
Apartment Nachtwachtstede,3431 HM Nieuwegein (Stadscentrum),"€1,450",60 m²,2
Apartment Aert van Neslaan 311,2341 HM Oegstgeest (Bloemenbuurt),"€1,500",103 m²,4
Apartment Hoofdstraat 9 13,7311 JS Apeldoorn (Binnenstad),€571,26 m²,1
Apartment Hommelseweg 386,6821 LW Arnhem (Onder de Linden),"€1,350",112 m²,5
Apartment Rijnstraat 33,6811 EW Arnhem (Rijnstraat),"€1,200",95 m²,4
Apartment Patrijsstraat,3353 AZ Papendrecht (Kraaihoek),€735,52 m²,3
Studio Ridderstraat,4101 BK Culemborg (Binnenstad),€409,25 m²,1
Apartment Fongersplaats 26,9725 LA Groningen (Rivierenbuurt),"€1,250",90 m²,3
Apartment Jisperveldstraat 393,1024 AT Amsterdam (Waterlandpleinbuurt),"€1,875",85 m²,3
Apartment Middelstegracht,2312 TV Leiden (Pancras-Oost),"€1,591",60 m²,3
Studio Haven,2312 MG Leiden (Havenwijk-Noord),"€1,000",25 m²,1
Apartment Pauwstraat,6811 GK Arnhem (Rijnstraat),"€1,685",120 m²,5
Studio Van Boecopkade,2518 LC Den Haag (Rond de Energiecentrale),€925,50 m²,1
Room Noorderbeekdwarsstraat,2562 XV Den Haag (Valkenboskwartier),€595,15 m²,1
Room Newtonstraat,2562 KZ Den Haag (Rond de Energiecentrale),€595,25 m²,1
Room Rodehaanstraat,8011 RR Zwolle (Binnenstad-Zuid),€385,12 m²,1
Room Vivaldistraat,8031 JE Zwolle (Holtenbroek II),€345,16 m²,1
Apartment Dompvloedslaan,2051 NB Overveen (Overveen),"€1,350",65 m²,3
Apartment Wisselstraat 30,3551 WG Utrecht (2e Daalsebuurt en omgeving),"€1,650",48 m²,2
Apartment Admiraal De Ruijterweg,1056 GM Amsterdam (Geuzenbuurt),"€1,800",77 m²,3
House Beukelaarsstraat 82,3074 HG Rotterdam (Hillesluis),"€1,975",106 m²,5
Apartment Hoefbladlaan 48,2555 EG Den Haag (Bohemen en Meer en Bos),€975,45 m²,2
Apartment Willem Pijperstraat 33,2551 CH Den Haag (Waldeck-Noord),"€1,125",71 m²,3
Apartment Beukelsweg,3022 GD Rotterdam (Nieuwe Westen),"€3,250",129 m²,7
Apartment Bilderdijkstraat 175 4,1053 KR Amsterdam (Van Lennepbuurt),"€1,475",37 m²,2
Studio Stationsstraat 11,6221 BM Maastricht (Wyck),"€1,150",30 m²,1
Apartment Stationsstraat,7311 MH Apeldoorn (De Haven),"€1,285",107 m²,2
Studio Vredenburchstraat,4811 RD Breda (Boeimeer),€785,32 m²,2
Apartment Karnemelkweg,5642 CC Eindhoven (Doornakkers-West),"€1,295",80 m²,3
Apartment Rotterdamseweg 94,2628 AN Delft (Zeeheldenbuurt),"€1,650",110 m²,4
House Haverstraat 28,5975 CS Sevenum (Sevenum),€900,94 m²,4
Apartment Karel Doormanlaan 332,1215 NW Hilversum (Zeeheldenkwartier),"€1,500",80 m²,3
Apartment De Rik,3232 LA Brielle (Rugge),"€1,310",79 m²,3
Apartment IJburglaan,1087 MA Amsterdam (IJburg Zuid),"€1,800",101 m²,3
Apartment Joos Banckersplantsoen,1056 LD Amsterdam (Landlust),"€2,850",120 m²,3
Apartment Hendrik van Deventerstraat,2563 XV Den Haag (Valkenboskwartier),€875,42 m²,2
Apartment Kinkerstraat 154 2,1053 EH Amsterdam (Kinkerbuurt),"€1,750",50 m²,2
House Lorentzlaan 15,4532 KM Terneuzen (Serlippenspolder),€950,126 m²,5
House Huijgensstraat 28,4532 KB Terneuzen (Serlippenspolder),€950,126 m²,5
House Huijgensstraat 21,4532 KA Terneuzen (Serlippenspolder),€950,126 m²,5
Apartment Kraneweg,9718 JC Groningen (Schildersbuurt),"€1,295",51 m²,2
House Haven,2312 MG Leiden (Havenwijk-Noord),"€1,550",70 m²,3
Apartment Levendaal,2311 JG Leiden (Levendaal-Oost),"€1,350",70 m²,3
Apartment Verdronkenoord 3 A,1811 BB Alkmaar (Binnenstad-Oost),€995,40 m²,2
Studio Buitenwatersloot,2613 TA Delft (Westerkwartier),€595,36 m²,1
House Brielselaan,3081 LB Rotterdam (Tarwewijk),"€1,950",121 m²,5
Apartment Rijnbeekstraat,5913 GH Venlo (Rijnbeek),€820,72 m²,3
Apartment Lobeliuslaan,2341 PJ Oegstgeest (Poelgeest),"€1,350",114 m²,3
Apartment Franciscus van Assisiëlaan 25,1185 CD Amstelveen (Augustinuspark),"€1,650",72 m²,4
Apartment Heiman Dullaertplein,3024 CD Rotterdam (Delfshaven),"€1,640",108 m²,4
Apartment Porporastraat,8031 HS Zwolle (Holtenbroek II),"€1,090",55 m²,2
Apartment Goudsewagenstraat,3011 RK Rotterdam (Stadsdriehoek),"€1,275",40 m²,2
Apartment Steynlaan 93 B,3701 ED Zeist (Centrumschil-Noord),"€1,071",26 m²,2
Apartment van Vredenburchweg 831,2284 TN Rijswijk (Kleurenbuurt),"€1,375",152 m²,5
House Zaanstraat,7417 WP Deventer (Deltabuurt),€975,99 m²,4
Apartment Valeriusstraat 218 2,1075 GK Amsterdam (Willemspark),"€1,695",65 m²,2
Apartment Eerste Oude Heselaan 150,6541 PD Nijmegen (Biezen),€950,45 m²,2
Apartment Amstelvlietstraat 552,1096 GG Amsterdam (Omval/Overamstel),"€1,749",100 m²,3
Apartment Oude Haagweg,2552 GE Den Haag (Rosenburg),€875,40 m²,1
Apartment Oude Haagweg,2552 GE Den Haag (Rosenburg),€900,48 m²,1
Apartment Mast 7 b,6852 CE Huissen (Zilverkamp),€895,57 m²,2
Apartment Denneweg,2514 CM Den Haag (Voorhout),€950,50 m²,2
Studio Eewal 61,8911 GS Leeuwarden (Grote Kerkbuurt),"€1,100",68 m²,1
Apartment Koningslaan,3067 TG Rotterdam (Het Lage Land),"€1,625",88 m²,4
Apartment Kerkplein,6131 ES Sittard (Sittard-Centrum),€941,108 m²,3
Studio Jekerstraat,6211 NR Maastricht (Statenkwartier),€895,30 m²,1
Apartment Utrechtsestraat,1017 VJ Amsterdam (Grachtengordel-Zuid),"€2,250",80 m²,2
House Hoornsekade 20,1823 BK Alkmaar (Rekerbuurt en Ooievaarsnest),"€1,500",102 m²,4
Apartment Zeeruststraat 114,2584 BZ Den Haag (Oud Scheveningen),"€1,550",72 m²,3
House Willem Beukelszoonplein,2584 XK Den Haag (Visserijbuurt),"€1,650",75 m²,4
Apartment Hongarijehof,1363 CC Almere (Europakwartier west),"€1,495",78 m²,3
Apartment Van Beethovenlaan,2253 BG Voorschoten (Adegeest),"€1,365",75 m²,3
Apartment Hendrikstraat,4381 AA Vlissingen (Oude Binnenstad),€825,41 m²,2
Apartment Teldersweg,3052 TG Rotterdam (Schiebroek),"€1,495",71 m²,3
Room Beeklaan,2562 AB Den Haag (Rond de Energiecentrale),€300,14 m²,1
House Lauweriksplein,7425 AW Deventer (Op den Haar),"€1,295",97 m²,5
Studio Eewal 59,8911 GS Leeuwarden (Grote Kerkbuurt),€650,27 m²,1
Apartment Walenburgerweg 108 B,3033 AJ Rotterdam (Provenierswijk),"€1,350",70 m²,3
Apartment Waterloostraat,4901 EK Oosterhout (Centrum),"€1,175",96 m²,3
Apartment Twijnstraat,3511 ZG Utrecht (Lange Nieuwstraat en omgeving),"€1,685",75 m²,2
Apartment Muntinglaan,9727 JT Groningen (Grunobuurt),"€1,075",77 m²,4
Apartment Hogewoerd,2311 HT Leiden (Levendaal-Oost),"€1,495",60 m²,2
Apartment Wisselstraat 30,3551 WG Utrecht (2e Daalsebuurt en omgeving),"€1,650",48 m²,2
House Jaagpad,1059 BN Amsterdam (Hoofddorppleinbuurt),"€3,600",160 m²,3
Apartment Kruizemunt 13,2201 MX Noordwijk (Kern Binnen Noord),"€1,450",80 m²,3
House Kiekstraat,1087 GK Amsterdam (IJburg West),"€2,000",130 m²,3
Apartment Taborstraat 14 A-02,3061 EW Rotterdam (Kralingen West),"€1,475",85 m²,5
Apartment Kromstraat,2611 ER Delft (Centrum),€850,31 m²,1
Apartment Hoyledestraat,3036 LR Rotterdam (Oude Noorden),"€1,495",96 m²,4
Apartment Koningsweg 78,5211 BN Den Bosch (Het Zand),"€1,450",90 m²,2
House 1e Daalsedijk 222,3513 TJ Utrecht (Pijlsweerd-Zuid),"€2,100",120 m²,5
House Wilgeneiland,2285 JR Rijswijk (Strijp),"€2,450",220 m²,7
Apartment Hendrinaland 88,2591 TL Den Haag (Landen),"€1,495",95 m²,4
Apartment Parelmoerhorst 320,2592 SL Den Haag (Burgen en Horsten),"€1,050",83 m²,4
Apartment Mierloseweg,5666 KB Geldrop (Braakhuizen-Zuid),€655,22 m²,1
Apartment Mr. G. Groen van Prinstererlaan,1181 TW Amstelveen (Stadshart),"€2,550",70 m²,4
Apartment Pontsteeg,7411 KR Deventer (Centrum),"€1,225",75 m²,3
Studio Bloemstraat 69,9712 LC Groningen (Hortusbuurt-Ebbingekwartier),€940,25 m²,1
Studio Keske 5,5694 NJ Son en Breugel (Breugel),€875,40 m²,1
Apartment Europalaan,5042 ZJ Tilburg (Jagersbuurt West),"€1,150",70 m²,4
Room Lyonnetstraat,2522 ND Den Haag (Laakkwartier-Oost),€675,16 m²,1
Room Engelsestraat,3028 CG Rotterdam (Oud Mathenesse),€675,17 m²,1
Apartment Oudenoord,3513 EP Utrecht (Pijlsweerd-Zuid),"€1,375",70 m²,2
Apartment Hereweg 97 11,9721 AA Groningen (Sterrebosbuurt),"€1,320",80 m²,2
House Prof. Feldmannweg,8015 PB Zwolle (Oldenelerbroek),"€1,150",98 m²,5
House Bliek,3225 XB Hellevoetsluis (Hout Hoeffe),"€1,395",111 m²,4
House Oostmaaslaan 235 E,3063 AV Rotterdam (Struisenburg),"€1,079",69 m²,2
Apartment Laan van Meerdervoort,2555 BR Den Haag (Bohemen en Meer en Bos),"€1,300",90 m²,3
Apartment Wijnbrugstraat,3011 XW Rotterdam (Stadsdriehoek),"€1,600",80 m²,3
Apartment Willem Barentszstraat,"3572 PJ Utrecht (Zeeheldenbuurt, Hengeveldstraat en omgeving)",€495,22 m²,1
Apartment Molkenkelder 57,8941 AG Leeuwarden (Techum),€925,65 m²,3
Room Breulingstraat 13 10,6211 SB Maastricht (Statenkwartier),€620,20 m²,1
Apartment Rosa Spierlaan 410,1187 PJ Amstelveen (Betsy Perkbuurt),"€1,750",75 m²,3
House Laan van Poot 306,2566 DD Den Haag (Vogelwijk),"€2,250",250 m²,8
Studio Berlijnplein,3541 CM Utrecht (Leidsche Rijn-Centrum),€633,30 m²,1
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"€1,750",80 m²,2
House Kremersdreef,6216 SZ Maastricht (Belfort),"€1,495",170 m²,4
Apartment Proosdijweg,6214 RJ Maastricht (Mariaberg),€775,43 m²,2
House van Akenweg,6218 HL Maastricht (Oud-Caberg),"€1,275",90 m²,3
Apartment Kesselskade,6211 EN Maastricht (Binnenstad),"€1,350",75 m²,4
Apartment Rochussenstraat 315 A02,3023 DG Rotterdam (Nieuwe Westen),"€1,295",70 m²,3
Apartment Amsterdamsestraatweg,3551 CP Utrecht (2e Daalsebuurt en omgeving),"€1,150",40 m²,2
House Melissekade,3544 CW Utrecht (Parkwijk-Zuid),"€1,595",90 m²,3
Apartment Zweedsestraat,3028 TV Rotterdam (Oud Mathenesse),"€2,200",90 m²,4
Apartment Eusebiusbinnensingel,6811 BW Arnhem (Markt),"€1,200",109 m²,3
Studio Czarinastraat,1506 RC Zaandam (Russische buurt),"€1,050",32 m²,1
Apartment Herman Robbersstraat,3031 RL Rotterdam (Rubroek),"€1,495",67 m²,2
Apartment De Braak 112,4901 JL Oosterhout (Centrum),€986,75 m²,3
Room Condéstraat 6 K 6,6217 LC Maastricht (Brusselsepoort),€425,16 m²,1
Apartment Weena,3013 AL Rotterdam (Cs Kwartier),"€1,395",88 m²,2
Apartment Oudegracht 8 A,3511 AM Utrecht (Breedstraat en Plompetorengracht en omgeving),"€1,650",68 m²,2
Apartment Van Malsenstraat,3074 PX Rotterdam (Hillesluis),"€1,175",61 m²,3
Apartment Sweelincklaan,4837 BA Breda (Ruitersbos),"€1,085",80 m²,3
Apartment Waterkeringweg,1051 NZ Amsterdam (Centrale Markt),"€2,250",75 m²,3
Apartment Romkeslaan 37,8933 AR Leeuwarden (Tulpenburg),"€1,095",70 m²,2
Room Wilhelminasingel 21 2.1,6221 BE Maastricht (Sint Maartenspoort),€415,20 m²,1
Apartment Anna Blamansingel,"1102 SX Amsterdam (Bijlmer Centrum (D,F,H))","€1,850",105 m²,3
Apartment Korenmarkt,1621 BG Hoorn (Binnenstad - Buurt 10 01),€950,45 m²,2
House Skager Rak,1501 AZ Zaandam (Burgemeestersbuurt),"€1,695",120 m²,4
Apartment Bernardus Gewinstraat,3031 SG Rotterdam (Rubroek),"€1,295",50 m²,3
House Saturnussingel,1363 RG Almere (Homeruskwartier),"€2,150",146 m²,6
House Isingstraat,2522 JV Den Haag (Laakkwartier-Oost),"€1,050",85 m²,4
Apartment Loosdrechtseweg,1215 JV Hilversum (Staatsliedenkwartier),"€1,200",60 m²,2
Apartment Van der Meydestraat 35 A,3039 TG Rotterdam (Blijdorp),"€1,450",70 m²,2
Apartment Ravellaan,"3533 JG Utrecht (Welgelegen, Den Hommel)","€1,480",75 m²,4
Apartment Lange Kerkstraat 31 L,3111 NN Schiedam (Buurt 00),"€1,015",37 m²,2
Apartment Goudsewagenstraat,3011 RK Rotterdam (Stadsdriehoek),"€1,275",40 m²,2
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"€1,750",80 m²,2
Apartment Hooftskade 50,2526 KA Den Haag (Schildersbuurt-Noord),"€1,750",100 m²,3
Apartment Van Kinsbergenstraat 107 A,2518 GX Den Haag (Zeeheldenkwartier),"€2,000",123 m²,5
Apartment Seehorst,2202 BN Noordwijk (De Zuid),"€1,495",90 m²,2
House Amsterdamseweg 576 A,1181 BZ Amstelveen (Randwijck West),"€2,000",120 m²,3
Apartment Fahrenheitstraat,2561 EH Den Haag (Valkenboskwartier),€925,40 m²,2
Apartment Sir Winston Churchillln 283 29,2288 DA Rijswijk (Plaspoelpolder),"€1,750",130 m²,3
Apartment Kamperfoelieplein,2225 RL Katwijk (Zuid),€825,45 m²,3
Apartment Zuiderstraat 31,2011 XS Haarlem (Vijfhoek),"€1,575",110 m²,3
Apartment Zuiderstraat 25,2011 XS Haarlem (Vijfhoek),"€1,575",91 m²,3
Apartment Drossestraat 80,2011 XW Haarlem (Vijfhoek),"€1,300",74 m²,4
Apartment Drossestraat 46,2011 XW Haarlem (Vijfhoek),"€1,695",119 m²,3
Apartment Buitenhaven,5211 TP Den Bosch (Binnenstad-Centrum),"€1,995",90 m²,3
Apartment Schiedamseweg,3025 AL Rotterdam (Bospolder),"€1,195",52 m²,4
Apartment Aidadreef,3561 GE Utrecht (Wolga- en Donaudreef en omgeving),"€1,300",92 m²,3
Apartment Vondelweg,3031 PS Rotterdam (Rubroek),"€1,450",70 m²,3
Apartment Stationsstraat,7311 NV Apeldoorn (De Haven),"€1,050",70 m²,3
Apartment Hartingstraat 16 A,3511 HV Utrecht (Hooch Boulandt),"€1,195",52 m²,2
Apartment Boomhazelaaroord,1112 EA Diemen (Bomenrijk),"€2,000",101 m²,4
Apartment Uiterwaardenstraat 61 hs,1079 BS Amsterdam (Rijnbuurt),"€1,750",60 m²,3
Apartment Hugo de Grootstraat,2613 VB Delft (Olofsbuurt),"€1,300",40 m²,2
Apartment Windestraat,1171 KB Badhoevedorp (Badhoevedorp Antoniushoeve),"€1,900",100 m²,4
Apartment Laurens Reaellaan 40 I,2024 BH Haarlem (De Krim),"€1,600",86 m²,3
Apartment Katendrechtse Lagedijk,3083 GD Rotterdam (Carnisse),"€1,105",80 m²,4
Apartment Kelloggplaats,3068 JG Rotterdam (Ommoord),"€1,075",99 m²,4
Apartment Warmoesstraat,1012 HX Amsterdam (Burgwallen-Oude Zijde),"€2,100",56 m²,2
Apartment Cordell Hullplaats,3068 VA Rotterdam (Ommoord),"€1,100",87 m²,3
Apartment Stadionweg 162 A,1077 TB Amsterdam (Apollobuurt),"€3,000",125 m²,4
House Lindenkruishof 9,6211 XD Maastricht (Statenkwartier),"€1,425",130 m²,4
Apartment Admiraal De Ruijterweg,1055 MP Amsterdam (Landlust),"€3,250",139 m²,5
Apartment Sonoystraat,3039 ZR Rotterdam (Blijdorp),"€1,775",102 m²,3
Apartment Goudsewagenstraat,3011 RK Rotterdam (Stadsdriehoek),"€1,275",40 m²,2
Apartment Witte de Withstraat,2518 CR Den Haag (Zeeheldenkwartier),"€1,250",83 m²,3
Apartment Bowierstraat,5213 XG Den Bosch (Aawijk-Noord),"€1,195",80 m²,3
Apartment Zangvogelweg,3815 DB Amersfoort (Watervogelbuurt),"€1,350",75 m²,3
Apartment Walenburgerweg,3033 AG Rotterdam (Provenierswijk),"€1,200",58 m²,2
Apartment Zeeburgerkade 462,1019 HP Amsterdam (Oostelijk Havengebied),"€1,600",85 m²,3
House Tweeschaar,4854 LW Bavel (Bavel),"€1,490",139 m²,4
Apartment Malakkastraat 62,2585 SR Den Haag (Archipelbuurt),"€1,600",72 m²,3
House Ridderstraat 3,6371 AL Landgraaf (Lichtenberg),"€1,195",124 m²,5
Apartment Spinhuispad 25,3111 PX Schiedam (Brandersbuurt),"€1,545",84 m²,4
Apartment Ganeshastraat 31,1363 XA Almere (Homeruskwartier),"€1,160",61 m²,2
Apartment Jacob van Lennepkade 404 1,1053 NN Amsterdam (Van Lennepbuurt),"€1,750",48 m²,1
Apartment Jan Pieter Heijestraat 172 1,1054 ML Amsterdam (Overtoomse Sluis),"€2,450",110 m²,4
Apartment Pleinweg,3083 EL Rotterdam (Carnisse),"€1,295",90 m²,4
Apartment Kruizemuntstraat,3083 TZ Rotterdam (Carnisse),€895,52 m²,3
Apartment Oudezijds Voorburgwal 19 3,1012 EH Amsterdam (Burgwallen-Oude Zijde),"€2,000",100 m²,3
Apartment Valkenburgerstraat 184 3,1011 NB Amsterdam (Nieuwmarkt/Lastage),"€1,850",125 m²,4
Apartment Pythagorasstraat,1098 EZ Amsterdam (Middenmeer),"€4,350",124 m²,5
Apartment Berlagestraat 84,3555 CW Utrecht (Prins Bernhardplein en omgeving),€915,35 m²,2
Apartment Elckerlijcstraat 35,1055 AK Amsterdam (Erasmuspark),"€2,850",123 m²,5
Apartment Amsteldijk 58 F,1074 HX Amsterdam (Nieuwe Pijp),"€5,000",138 m²,5
Apartment Piet Smitkade,3077 MJ Rotterdam (Oud IJsselmonde),"€1,175",78 m²,3
Apartment Statenweg,3039 HL Rotterdam (Blijdorp),"€1,500",169 m²,6
Apartment Stadionweg 162,1077 TB Amsterdam (Apollobuurt),"€2,750",125 m²,3
Apartment Amsterdamsestraatweg,1411 AX Naarden (Valkeveen),"€1,400",80 m²,2
House Burgemeester Vermeulenstraat,4813 PR Breda (Princenhage),"€1,950",128 m²,5
House Generaal Marshallweg,5623 HD Eindhoven (Generalenbuurt),"€1,650",100 m²,5
Apartment Drievogelstraat,6466 GL Kerkrade (Spekholzerheide),€610,45 m²,3
Apartment Geitstraat,6413 EP Heerlen (Heerlerheide Kom),€750,83 m²,3
Apartment Horstveld,6093 DJ Heythuysen (Kern Heythuysen),€725,57 m²,3
House Annette Versluys-Poelmanstraat 1,3207 SJ Spijkenisse (Maaswijk-Zuidwest),"€1,895",110 m²,3
Apartment Nobelstraat 22 A,2513 BD Den Haag (Kortenbos),"€1,050",37 m²,2
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"€1,750",80 m²,2
House Jaagpad,1059 BN Amsterdam (Hoofddorppleinbuurt),"€3,600",160 m²,3
Apartment Lange Poten 19 5,2511 CM Den Haag (Uilebomen),"€1,350",70 m²,3
Apartment Jacob Catsstraat,2515 GB Den Haag (Schildersbuurt-Noord),"€1,950",90 m²,1
Apartment Aart van der Leeuwkade 53,2274 LA Voorburg (Voorburg Midden midden),"€1,200",80 m²,3
Apartment Thorbeckestraat,6828 TX Arnhem (Statenkwartier),€900,69 m²,3
Apartment Van Beuningenplein 178,1051 XA Amsterdam (Staatsliedenbuurt),"€2,600",87 m²,3
Apartment Stadsring,3811 HM Amersfoort (Smallepad e.o.),"€1,250",86 m²,3
Apartment Dirigentenlaan,5049 EA Tilburg (Stokhasselt Oost),€735,75 m²,2
Apartment Rolandseck 60,6865 AC Doorwerth (Doorwerth Zuid),€580,50 m²,2
Room Eerste Oude Heselaan 144 1.2,6541 PD Nijmegen (Biezen),€550,20 m²,1
Apartment Vijfhagen,4812 XT Breda (Tuinzigt),"€1,150",64 m²,2
Apartment Frederiksplein 26 A,1017 XN Amsterdam (De Weteringschans),"€3,450",140 m²,3
Apartment Van Houtenlaan,9722 GT Groningen (Helpman),Price ,75 m²,3
House Lodewijk van Nassaustraat,5923 BD Venlo (gazenkamp),"€1,200",118 m²,4
House Stenenwal 25,6221 GA Maastricht (Wyck),"€2,100",122 m²,7
Apartment Doggerstraat,3028 HN Rotterdam (Oud Mathenesse),"€1,295",51 m²,2
Apartment Verlengde Kazernestraat 77,7417 ZA Deventer (Hoornwerk),€495,20 m²,1
Apartment De Clercqstraat 75 III,1053 AE Amsterdam (Da Costabuurt),"€2,200",59 m²,4
Apartment Burgemeester Jansenlaan,3331 HH Zwijndrecht (Hoveniersplein - Griend),"€1,350",66 m²,3
House Matthijssenhoutweg 2,1261 CL Blaricum (Blaricum-Dorp),"€4,500",289 m²,7
House Hazenburg 25,4416 HH Kruiningen (Kruiningen - Kruseveer),"€1,195",120 m²,5
Apartment Sint Annadal 20 B,6214 PB Maastricht (Mariaberg),"€1,000",90 m²,4
Apartment Weert 91,6241 GS Bunde (Weert),€760,63 m²,3
Apartment Fleerde 7,"1102 AV Amsterdam (Bijlmer Centrum (D,F,H))","€1,600",100 m²,3
Apartment Vinckenhofstraat,5913 EG Venlo (Rijnbeek),€995,90 m²,3
Apartment Goudvinklaan,3722 VE Bilthoven (Bilthoven Centrum),"€1,550",88 m²,4
Apartment Keizersgracht,1017 DK Amsterdam (Grachtengordel-Zuid),"€2,500",97 m²,3
Apartment Badhoevelaan,1171 DD Badhoevedorp (Badhoevedorp Centrum),"€1,400",50 m²,3
House Herengracht,1016 BC Amsterdam (Grachtengordel-West),"€4,200",148 m²,5
House Dijkschrijversland,5311 GV Gameren (Gameren),"€1,100",120 m²,4
Apartment Neherkade,2521 RG Den Haag (Laakhaven-Oost),"€1,500",79 m²,4
Apartment Wisselstraat 30,3551 WG Utrecht (2e Daalsebuurt en omgeving),"€1,650",48 m²,2
Apartment Noorderhavenkade 56 B03,3038 XK Rotterdam (Bergpolder),"€1,750",80 m²,2
Apartment Brouwersweg 9 B,6214 PE Maastricht (Mariaberg),€925,30 m²,2
Apartment Tesselschadelaan,1399 KV Muiderberg (Buitendijken Muiderberg),"€1,500",60 m²,3
Apartment Discusstraat,1076 VK Amsterdam (Stadionbuurt),"€2,150",75 m²,1
Apartment Tweede Oosterparkstraat,1091 JE Amsterdam (Oosterparkbuurt),"€2,750",110 m²,4
Apartment J.F. van Hengelstraat,1019 TB Amsterdam (Oostelijk Havengebied),"€2,150",90 m²,3
Apartment Paradijslaan,5611 KR Eindhoven (Bergen),"€1,575",65 m²,3
House Bevrijdingstraat,5502 EK Veldhoven (Zeelst),"€1,575",78 m²,4
Apartment Oranjestraat 8 C,2514 JB Den Haag (Voorhout),"€1,500",55 m²,2
Apartment Eerste Sweelinckstraat 10,1073 CM Amsterdam (Oude Pijp),"€2,450",115 m²,3
Studio Heerderdwarsstraat 45 A07,6224 LS Maastricht (Wyckerpoort),€800,25 m²,1
Apartment Stadionweg,1077 TB Amsterdam (Apollobuurt),"€2,750",116 m²,4
Apartment Mr. G. Groen van Prinstererlaan,1181 TV Amstelveen (Stadshart),"€1,700",65 m²,4
Apartment Bram van Veldestraat,2382 BB Zoeterwoude (Hoge Rijndijk Noord),"€1,850",103 m²,3
Apartment Hudsonstraat,1057 SC Amsterdam (Hoofdweg e.o.),"€1,950",70 m²,3
House Spaarnekade,2064 SB Spaarndam (Spaarndam),"€2,250",133 m²,3
Apartment Nijenburg 88,1081 GG Amsterdam (Buitenveldert-West),"€2,100",80 m²,4
Apartment Breedstraat,1811 HE Alkmaar (Binnenstad-West),"€1,050",47 m²,2
Apartment Biesboschstraat,1078 ML Amsterdam (Scheldebuurt),"€1,495",55 m²,3
Apartment Willem van Hillegaersbergstraat,3051 RA Rotterdam (Hillegersberg Zuid),"€1,150",75 m²,3
Apartment Kromme Elleboogsteeg,2011 TS Haarlem (Binnenstad),"€1,000",55 m²,1
Apartment Stadionweg,1077 TB Amsterdam (Apollobuurt),"€3,000",116 m²,4
House Paletlaan,1339 AE Almere (Regenboogbuurt),"€1,800",154 m²,5
House Baarle Hertoglaan,5628 PP Eindhoven (Tempel),"€2,350",135 m²,6
Apartment Waldorpstraat 1084,2521 CX Den Haag (Laakhaven-West),€620,24 m²,1
Apartment Waldorpstraat 872,2521 CW Den Haag (Laakhaven-West),€580,24 m²,1
Apartment Reutumbrink 32,7544 XM Enschede (Wesselerbrink Noord-Oost),€700,40 m²,2
Apartment Distelweg 243,1031 HD Amsterdam (Noordelijke IJ-oevers West),"€1,683",64 m²,3
Apartment Distelweg 237,1031 HD Amsterdam (Noordelijke IJ-oevers West),"€1,672",69 m²,3
Apartment Distelweg 253,1031 HD Amsterdam (Noordelijke IJ-oevers West),"€1,672",69 m²,3
Apartment Distelweg 269,1031 HD Amsterdam (Noordelijke IJ-oevers West),"€1,672",69 m²,3
Apartment Goudsewagenstraat,3011 RK Rotterdam (Stadsdriehoek),"€1,275",40 m²,2
Apartment Wisselstraat 30,3551 WG Utrecht (2e Daalsebuurt en omgeving),"€1,650",48 m²,2
Studio Groenstraat,4702 VD Roosendaal (Parklaan-Hoogstraat),€725,24 m²,1
Apartment Westvest,2611 AZ Delft (Centrum-Zuidwest),€885,45 m²,2
Apartment Plaats,2513 AE Den Haag (Voorhout),"€1,250",70 m²,2
Apartment Schoolstraat,3581 PP Utrecht (Buiten Wittevrouwen),€885,33 m²,1
House De Twee Gebroeders 125,9207 CL Drachten (De Folgeren),€795,57 m²,2
Studio Groenstraat,4702 VD Roosendaal (Parklaan-Hoogstraat),€720,22 m²,1
Studio Groenstraat,4702 VD Roosendaal (Parklaan-Hoogstraat),€650,16 m²,1
Studio Groenstraat,4702 VD Roosendaal (Parklaan-Hoogstraat),€775,28 m²,1
Apartment Tinelstraat 18 A,"5654 LT Eindhoven (Bennekel-West, Gagelbosch)","€1,400",50 m²,2
Apartment Mariniersweg,3011 NH Rotterdam (Stadsdriehoek),"€1,475",84 m²,2
Apartment Isingstraat 125,2522 JP Den Haag (Laakkwartier-Oost),"€1,300",70 m²,3
Apartment Palairetstraat,2273 CK Voorburg (Voorburg Midden midden),"€1,325",77 m²,4
Apartment Nieuweweg,9711 TE Groningen (Binnenstad-Oost),"€1,900",80 m²,3
Apartment Altingstraat 35,2593 SP Den Haag (Bezuidenhout-Oost),"€1,225",78 m²,3
Apartment 1e Lulofsdwarsstraat 20 A,2521 AZ Den Haag (Laakhaven-West),"€1,335",79 m²,3
Apartment Winterdijkstraat 38 3,1079 GV Amsterdam (Scheldebuurt),"€2,250",102 m²,6
House Sarabande 83,2152 TD Nieuw-Vennep (Nieuw-Vennep Getsewoud Noord),"€1,725",148 m²,6
Apartment Boterpotplein,5554 CS Valkenswaard (Centrum),"€1,275",72 m²,2
